id_sp,kode_pt,nama_pt
E5C0910B-860D-405F-B621-0005A9A2ED5F,903400,Hanil University and Presbyterian Theological
7876B919-D23D-4124-B0C0-000D0C773DBD,014134,Akademi Keperawatan Binalita Sudama
C3319E33-8F0F-451E-9FF3-00160F4C4D61,213580,Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat 
A45F8251-3475-487C-9163-00186A4F1BA3,903187,City University of Seattle
4E01F23F-9480-4436-8E65-00198122A888,104068,Akademi Kebidanan Dayang Suri
5B252FDE-B2D6-4C93-948B-001B470FBB6D,053019,Sekolah Tinggi Ilmu Administrasi Aan
9C490232-1078-4A6B-96F2-00248EA30754,213731,Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat
395E7C45-E1CE-488C-A18C-002B72A84071,201011,Universitas Islam Negeri Ar-Raniry Banda Aceh
07A45716-F729-4678-927E-002C0B66708A,213460,STAI Asy-Syukriyyah Tangerang
7377ECC8-BF25-47DA-BCA5-002CC7424A5D,903242,University of Al Qurawiyyin
C2FE7546-10A1-43F2-A38A-002CD17B06FE,233312,STT Sriwijaya Palembang
09BA5E6E-7924-481F-A956-00301AB4C4B4,014227,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti
E3B6B7CE-DA20-48A7-9A23-003036ABE145,064166,Akademi Teknologi Bank Darah Surakarta
1782F838-F5DD-485C-B29E-00339227C4F2,213573,STEI Ar Risalah Ciamis Jawa Barat 
54727AB9-3E84-4BE7-B2C7-0038B08B8963,014181,Akademi Kebidanan Eunice Rajawali Binjai
8C26506A-1F53-46B0-BC19-004535B706DC,903266,University of Palestine
CB290686-7605-4427-8A2E-0047E141154B,903105,Flinders University
887C5726-D4FE-414B-9670-004B598A3093,033184,Sekolah Tinggi Desain Interstudi
44A29BB0-8B84-4D6A-A2E6-004FABF8FD2E,900877,University Of Dacca
3A08E9A3-A1E9-4360-B4AF-0053A96DA5A7,005031,Politeknik Negeri Bengkalis
1EFC0D87-164C-4E24-BC91-0054D76A337E,423001,Sekolah Tinggi Ilmu Pelayaran Jakarta
A1F43EEA-1021-480C-A374-00575F275058,900534,Taylors College
3332E278-0924-40E3-A8BA-0061F1E8C8A9,900821,Osmania University
C6D8EAEE-834C-42A3-AED2-0064DEC2E2EA,041027,Universitas Komputer Indonesia
9BBC252F-60CD-4800-8D5B-006A23338C1E,014175,Akademi Kebidanan Madina Husada
23C4151F-D411-453A-8547-007235A49CF3,063121,"Sekolah Tinggi Teknologi ""Warga"" Surakarta"
164454A5-EEFF-47A1-A554-007988F8B907,901993,Christian Albrechts Universitat Zu Kiel
55E27CAF-C8BD-41FF-BAC9-0090E52CC8D7,233086,STT INTIM Makassar
24F93517-5B5B-4B79-839A-009B037489D2,903087,Hyderabad University
EB45D0EC-E62E-4DD8-A43F-009FEDE76886,093210,Institut Kesehatan dan Bisnis St. Fatimah Mamuju
BEB09663-B62C-411B-8ED7-00A277B1932C,031011,Universitas Muhammadiyah Jakarta
424EF8BF-0B68-44AF-BE41-00A72F1667B4,900272,Kyungsung University
A7F6337D-5D47-48C0-AA22-00B7CFD9A6CE,022007,Institut Maritim Prasetiya Mandiri
01574832-F2D5-4FBC-888A-00B90B11E260,083098,ST Teknologi dasn Kejurusan
E2D869FB-563C-47BD-8C21-00BE76597304,213522,Sekolah Tinggi Ilmu Tarbiyah (STIT) Islamiyah Nusa Tenggara Barat
39354645-2830-4D2C-9393-00C044D234A3,093046,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI
A49CB334-C6AC-48C9-963F-00C415F0CF74,213329,"STAI Al-Furqan Makassar, Sulawesi Selatan"
2EC9126B-B2EF-43A9-AA37-00C5E0C93D5E,900132,Yamagata University
BBB8FAEC-AF62-4EBF-A9B9-00C9A286913C,113012,Sekolah Tinggi Ilmu Ekonomi Balikpapan
A9190AB0-C37E-4FD7-B5EA-00C9A9E4E524,044078,Akademi Teknologi Bogor
53603E24-B48A-4C0E-A48D-00CCB1E6705B,163024,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo
33EF0D6E-3FF3-4C4D-A3C0-00D1C12F1B1C,103080,Sekolah Tinggi Teknologi Payakumbuh
83B42285-EDB7-4396-B2A6-00DE83333E63,082001,IKIP Saraswati
F50DCFD5-79FF-404E-AD0E-00E314F09B32,071116,Universitas Annuqayah
A1C7BC9E-B51C-4DB9-A2A0-00F3742B61A4,233284,Sekolah Tinggi Teologi Sabda Agung (STTSA)
240FA876-507A-4A6E-A099-00F6D4BCB669,900089,Kanto Gakuin University
2FFA0641-0D11-453F-9292-00F8C4CB0A55,064126,Akademi Keperawatan Krida Husada
5DB824BE-DF25-4246-B36F-00FE6E3E3904,094108,Akademi Kesehatan Gigi Kendari
83FFEFA5-CCE7-48A8-9D03-011337A620B7,074140,Akademi Kuliner Monas Pasifik
1850C92F-689C-45E4-9382-01219D35C534,031063,Universitas Prasetiya Mulya
5BF98DFD-054E-4C19-9A64-012B41C69718,041061,Universitas Muhammadiyah Tasikmalaya
1522EE95-A911-4838-B7F6-01373E6CE3A8,042011,Institut Manajemen Wiyata Indonesia
F6C4C9C7-A9E2-4131-A143-013B8B26FDF3,134004,Akademi Sekretari Manajemen Tanah Rencong
13B09331-3491-4309-8CF4-014AD17BF64E,094015,Akademi Keperawatan Muhammadiyah Makassar
5C1522AA-4E9C-4A03-8207-014EB0A50119,233128,Sekolah Tinggi Teologi Saint Paul Bandung
A5CDACC1-0281-4A26-B629-01554E390FE6,053053,Sekolah Tinggi Ilmu Kesehatan Bantul
D472C889-32D7-4F60-A175-015EB58F0A87,212082,Institut Agama Islam Widya Dharma Palembang
F876FF32-0D53-4D8D-8030-0164A68D24BB,213420,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau
8BEBAE63-18E8-4715-9950-016539DEB458,063053,Sekolah Tinggi Ilmu Kesehatan Hakli
34ED44CE-6AA5-43FB-8473-01681060ED71,034222,Akademi Keperawatan Bina Insan
1392A343-425A-4E0F-A78F-01688C79F877,053048,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta
317B4672-5EF9-4BCB-9F69-0171AB3A1888,045071,Politeknik Prasetiya Mandiri
C8005F55-5557-494C-A31E-0179303672DB,053033,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta
7CE19376-DD40-4290-9022-017BE25A0AC2,900714,Yanching Graduate Institute
BB14475D-D107-439B-AF17-017DE08781C6,054002,Akademi Kesejahteraan Sosial Tarakanita
0B269B25-B71D-4D30-989B-0181E31D37F9,083080,STMIK Primakara
64188DDB-CD37-4D68-A63C-0191361889E3,064158,Akademi Farmasi 17 Agustus 1945 Semarang
05D6CB18-6C10-469C-906C-019C082203A3,123046,Sekolah Tinggi Ilmu Administrasi Said Perintah
5F45B99F-C0D7-4CED-A127-01AC31D483FE,902281,Kharkev Gorky State University
48ADA569-CD6A-4A99-A675-01B0C2E54828,213562,Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu
5CD61E62-EDD9-4F69-B87D-01BB31F821B1,901083,Kansas Wesleyan University
04948365-6483-49D4-9797-01C1D79D78FA,902243,University Of Arts And Design
B49BAE86-C890-45D5-9F14-01C4F8117D30,902816,Denver Seminary
FEA55ED3-EFED-4118-A0A6-01CB899DB3C3,901061,Indiana University - Purdue University at Indianapolis
10C30635-7F1D-4A33-9462-01D00E93B88A,203020,STAIN Zawiyah Cot Kala Langsa
10485CCE-2848-4B00-B0C0-01D3B8D0D504,001045,Universitas Papua
8A35126A-9606-4AC1-A3E2-01D64CA06DF6,901883,Hogeschool Ijselran
9228C206-A2CA-461E-9A06-01D65714E1C1,903059,ADVENTIST INTERNATIONAL INSTITUTE OF ADVANCED STUDIES
39DE7768-2FBF-4F0B-BA40-01F227F1FAD4,902379,University Of Canberra
4C0B40BD-9BBF-43AC-BE16-01F3D96FB1FC,902219,University Of Skoude
1F3643E7-F7DF-4809-886B-01F50F7825A8,243009,Sekolah Tinggi Agama Hindu Bhatara Guru Kendari Sulawesi Tenggara 
FAE7ADD7-4980-4550-8E80-01FCAA98EE85,032017,Institut Ilmu Sosial Dan Manajemen STIAMI
369827F6-9241-49F7-983A-0202526AE388,033159,STKIP Suluh Bangsa
186DAF3D-C101-4450-9F19-0220E468395E,901682,Bolton Institute Of Technology
1C4D0C40-7D17-4FB0-A26E-0228548AC37A,902109,Hochschule Anhalt
4A350C33-A812-433E-AD9B-022C17754A16,022018,Institut Citra Internasional
98BA2A6F-E6E0-4AB1-9789-0232FA66B24A,064013,Akademi Bahasa Asing St Pignatelli
358C7384-FC74-48B3-B957-023938857FCA,133007,Sekolah Tinggi Teknik Iskandar Thani
7D2554E9-4285-440C-8D22-024673C28136,014056,Akademi Kebidanan Imelda
772CE945-5591-4614-A6BA-02503601E4DF,900589,Mahamakut Buddhist University
62A17357-BAC9-4D98-83B0-0255DB981B15,141017,Universitas Doktor Husni Ingratubun Papua
1907CCC5-DFF3-4F33-B7E0-025C8A6B7CA7,014173,Akademi Kebidanan Namira Madina Panyabungan
B28E97ED-9D9B-44C3-8ECF-0261B0218943,900830,Preston Institute Of Management Science and Tech
EB711715-8551-48BB-BD05-02628EA13532,902925,UNIVERSITY OF WISCONSIN - LA CROSSE
404AE45F-2E7B-4881-9AA0-0269F494DFB2,053036,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta
2E629B15-90B0-4001-95D0-026A30C8D814,041033,Universitas Pamulang
10FDB09A-A90F-4A89-9ACF-02804019319E,213331,"STAI Al-Ghazali Barru, Sulawesi Selatan"
69E7BCB2-C478-4296-A53B-028164309E22,900281,Pukyong National University
9FD5F218-CADE-4E16-B588-0283C8849C31,901695,Soole hayne Agriculture College
EFEABB27-C646-4A98-8136-0284F1DFCA24,463001,Sekolah Tinggi Sandi Negara
FC2BC620-9C66-415F-BBBF-02903915DA67,900625,Payap University
936476EA-6882-4E9A-B89E-029853ABB4BF,024040,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma
286D5B9B-64E0-4FEC-96F9-029BE9E128BD,141015,Universitas Werisar
B6EBBFE8-26F3-42C2-954E-02A2AD66DA16,064089,Akademi Kebidanan Karsa Mulia
3FC03121-B0BE-4B7E-909E-02A52B02A040,900672,Shanghai College Of Traditional Chinese Medicine
E7984E0F-3A35-4F09-B070-02A5641C0BD1,213123,Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu
5EAA4834-6E01-46E4-AF06-02A8E5374494,041093,Universitas Indonesia Membangun
34F61BEC-78AD-481D-AFD3-02B905D9B850,074137,Akademi Farmasi Putra Indonesia Malang
633FD7B5-22BF-4DC1-B2FD-02C55F6685A4,900167,Tsurumi University
BCB13E90-003C-43D2-A367-02CAB8ABE36B,903268,Wuhan University of Technology
02CE748F-CD7D-40D7-B1B2-02DCD9407541,014126,Akademi Informatika Dan Komputer Medicom
7CD4C5E3-3F58-4A7B-8082-02DEF50B3E68,015024,Politeknik Adiguna Maritim Indonesia Medan
84E01704-534E-4810-9856-02DFD3863C88,035013,Politeknik Orang Tua
3B9A5271-B473-45CD-BB04-02EB1BCCE2AF,212003,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya
9A522A63-6C21-46FB-A161-02ECAD6E49D2,900477,University of Makati
08A5B743-939D-414F-A79A-02EDDCB52D8F,002010,Institut Seni Budaya Indonesia Bandung
937B3622-80FE-411F-9AD4-02EF9B1E01A8,045018,Politeknik Praktisi Bandung
E586A51B-039F-42A9-A9CB-02F755C87B18,094050,Akademi Keperawatan Yapenas 21 Maros
E27AEC3E-5DEF-463D-9E7D-02F75F363534,233241,Sekolah Tinggi Teologi Istto Hikmat Wahyu
BDCFA799-7EA0-4BE0-89FC-02F83D3B26C9,900919,The University Guelph
0EB013E2-F216-4548-B1FA-02F8D8753408,013053,Sekolah Tinggi Pertanian Gunung Leuser
257D2C2B-7406-46DF-89A3-02F9DD38913D,213175,STAI Bani Saleh Bekasi
13E85C3F-5D8C-4284-9190-03013FAE33F3,042016,Institut Bisnis Dan Informatika Kesatuan
AA568342-3A58-4852-AB25-0303C9332239,043241,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi
D11CF944-91C6-4D3E-AA33-03057EB0066C,901211,Southern Methodist University
51F604F0-A7BE-4379-B337-0307D994DED6,902990,COLLEGE OF SOUTHERN IDAHO
0D5FCE2D-6DEA-421C-BC49-031C649B3C87,084024,Akademi Keperawatan Samawa
50558B75-6E00-4B63-94AC-032357EAA65A,902138,Universitae Bologna
7E00AE80-DAE2-406C-9C5C-0323FB6E1E1C,173159,Sekolah Tinggi Ilmu Kesehatan Husada Gemilang
03C97FEC-ECA9-4F54-BB9A-0326F5F3EEF3,103095,Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam
0CA69320-A61E-496B-9336-03370876E03F,121015,Universitas Halmahera
BB93B6A7-2347-4B97-A8BE-03396DC5D7CE,213596,Sekolah Tinggi Ekonomi Islam Haji Abdul Malik Cikarang Barat
5BDD0EBF-69E6-48F6-8A13-0348DCA2E879,213316,"STIT Al-Quraniyah, Manna, Bengkulu Selatan"
29B18AE9-42D4-4EE9-9652-034A8D17D92A,213156,STAI Al-Karimiyah Sawangan Depok
68DB9AB3-54E6-4887-B05A-035224B43123,902810,Universiti Selangor
A1C270B1-ACF5-45FD-8FE4-035CC2AF1611,064004,Akademi Pelayaran Niaga Indonesia Semarang
3C10935F-34A6-418A-BE3F-035D9274D2D2,902884,Central South University 
68C7A5E9-E7D8-4F01-885F-03630C131B7A,233281,Sekolah Tinggi Teologi Parausorat Nauli Jakarta
D4F25FFF-8145-4454-8972-03683BE0D659,900992,University Of California - San Diego
7BD25F53-9C54-41B2-8496-036D65FB145F,064021,AMIK Veteran Purwokerto
602F3064-F559-48AA-B6F2-036E4A81BA7A,134008,Akademi Keuangan Perbankan Nusantara
CE2C571F-6CF1-441E-9687-037523177B32,033185,Sekolah Tinggi Pariwisata Pelita Harapan
